shift_date,shift,robot_id,minutes_observed,running_min,idle_min,ready_min,faulted_min,cycle_count,avg_cycle_time_s,availability_pct,performance_pct,quality_pct,oee_pct,energy_kwh
2026-08-06,C,EXH-R01,360,90,210,60,0,118,45.73,100.0,98.33,100.0,98.33,12.141
2026-08-07,A,EXH-R01,480,332,72,64,12,437,45.7,97.5,98.72,100.0,96.25,26.358
2026-08-07,B,EXH-R01,480,344,72,64,0,456,45.43,100.0,99.42,100.0,99.42,27.228
2026-08-07,C,EXH-R01,480,120,280,80,0,158,45.52,100.0,98.75,100.0,98.75,16.019
2026-08-08,A,EXH-R01,480,344,72,64,0,453,45.59,100.0,98.76,100.0,98.76,27.203
2026-08-08,B,EXH-R01,480,341,63,61,15,438,46.97,96.88,96.33,97.49,90.98,27.782
2026-08-08,C,EXH-R01,480,120,280,80,0,158,45.73,100.0,98.75,100.0,98.75,16.008
2026-08-09,A,EXH-R01,480,344,72,64,0,455,45.5,100.0,99.2,100.0,99.2,27.24
2026-08-09,B,EXH-R01,480,344,72,64,0,446,46.47,100.0,97.24,100.0,97.24,27.178
2026-08-09,C,EXH-R01,120,30,70,20,0,37,48.54,100.0,92.5,100.0,92.5,3.983
